id,dex,celltype
lung_b11_129N,Covid,lung
lung_b11_129C,Covid,lung
spleen_b9_127N,Covid,spleen
spleen_b9_127C,Covid,spleen
liver_b7_127N,Covid,liver
liver_b7_127C,Covid,liver
heart_b14_127N,Covid,heart
heart_b14_127C,Covid,heart
heart_b14_128N,Covid,heart
kidney_b2_127N,Covid,kidney
kidney_b2_128N,Covid,kidney
kidney_b2_128C,Covid,kidney
kidney_b2_127C,Covid,kidney
lung_b11_130N,Covid,lung
liver_b8_127C,Covid,liver
liver_b8_127N,Covid,liver
kidney_b2_129N,Covid,liver
kidney_b2_129C,Covid,kidney
thyroid_b17_127N,Covid,thyroid
lung_b11_130C,Covid,lung
lung_b11_131N,Covid,lung
spleen_b9_128N,Covid,spleen
spleen_b9_128C,Covid,spleen
liver_b7_128N,Covid,liver
liver_b7_128C,Covid,liver
liver_b7_129N,Covid,liver
heart_b14_131C,Covid,heart
kidney_b2_130N,Covid,kidney
kidney_b2_131N,Covid,kidney
kidney_b2_130C,Covid,kidney
thyroid_b17_127C,Covid,thyroid
lung_b11_131C,Covid,lung
lung_b11_132N,Covid,lung
spleen_b9_129N,Covid,spleen
spleen_b9_129C,Covid,spleen
liver_b8_128N,Covid,liver
liver_b8_128C,Covid,liver
heart_b15_128N,Covid,heart
heart_b15_128C,Covid,heart
kidney_b3_127N,Covid,kidney
kidney_b3_128N,Covid,kidney
kidney_b3_128C,Covid,kidney
kidney_b3_127C,Covid,kidney
thyroid_b17_128N,Covid,thyroid
lung_b13_132N,Covid,lung
lung_b13_132C,Covid,lung
spleen_b9_130N,Covid,spleen
spleen_b9_130C,Covid,spleen
liver_b7_130N,Covid,liver
liver_b7_130C,Covid,liver
liver_b7_129C,Covid,liver
heart_b15_129N,Covid,heart
heart_b15_129C,Covid,heart
kidney_b3_129N,Covid,kidney
kidney_b3_130N,Covid,kidney
kidney_b3_129C,Covid,kidney
kidney_b3_130C,Covid,kidney
thyroid_b17_130N,Covid,thyroid
lung_b11_132C,Covid,lung
lung_b12_127C,Covid,lung
spleen_b10_127N,Covid,spleen
spleen_b10_127C,Covid,spleen
liver_b8_129N,Covid,liver
liver_b8_129C,Covid,liver
heart_b14_128C,Covid,heart
heart_b14_129N,Covid,heart
kidney_b4_127N,Covid,kidney
kidney_b4_128N,Covid,kidney
kidney_b4_127C,Covid,kidney
kidney_b4_128C,Covid,kidney
thyroid_b17_130C,Covid,thyroid
lung_b12_128N,Covid,lung
lung_b12_128C,Covid,lung
lung_b12_129N,Covid,lung
spleen_b10_128N,Covid,spleen
spleen_b10_128C,Covid,spleen
liver_b7_131N,Covid,liver
liver_b7_131C,Covid,liver
liver_b7_132N,Covid,liver
heart_b15_130N,Covid,heart
heart_b15_130C,Covid,heart
kidney_b4_129N,Covid,kidney
kidney_b4_130N,Covid,kidney
kidney_b4_129C,Covid,kidney
kidney_b4_130C,Covid,kidney
testis_b1_s126,Covid,testis
testis_b1_127N,Covid,testis
thyroid_b17_131N,Covid,thyroid
lung_b12_129C,Covid,lung
lung_b12_130N,Covid,lung
spleen_b10_129N,Covid,spleen
liver_b7_132C,Covid,liver
liver_b7_133N,Covid,liver
heart_b15_131N,Covid,heart
heart_b15_131C,Covid,heart
kidney_b4_131N,Covid,kidney
kidney_b4_131C,Covid,kidney
thyroid_b17_133N,Covid,thyroid
lung_b12_130C,Covid,lung
lung_b12_131N,Covid,lung
spleen_b10_129C,Covid,spleen
spleen_b10_130N,Covid,spleen
liver_b8_130N,Covid,liver
liver_b8_130C,Covid,liver
heart_b14_129C,Covid,heart
heart_b14_130N,Covid,heart
kidney_b5_127N,Covid,kidney
kidney_b5_128N,Covid,kidney
kidney_b5_127C,Covid,kidney
kidney_b5_128C,Covid,kidney
thyroid_b17_133C,Covid,thyroid
lung_b12_131C,Covid,lung
lung_b12_132N,Covid,lung
spleen_b10_130C,Covid,spleen
spleen_b10_131N,Covid,spleen
liver_b8_131N,Covid,liver
liver_b8_131C,Covid,liver
liver_b8_132N,Covid,liver
heart_b14_130C,Covid,heart
heart_b14_131N,Covid,heart
kidney_b5_129N,Covid,kidney
kidney_b5_129C,Covid,kidney
kidney_b5_130N,Covid,kidney
thyroid_b18_128C,Covid,thyroid
lung_b13_127N,Covid,lung
lung_b13_127C,Covid,lung
lung_b13_128N,Covid,lung
lung_b13_128C,Covid,lung
testis_b1_127C,Covid,testis
lung_b13_129N,Covid,lung
lung_b13_129C,Covid,lung
testis_b1_128N,Covid,testis
lung_b13_130N,Covid,lung
